hour,total_checkouts,total_pageviews,FB_Conversion_Rate,average_order_value,FB_CTR,discounts,total_sales_lag1,total_sales_lag7,total_sales_rolling_mean
2021-08-19,0.125,16.583333333333332,0.0136054421768707,42.673,1.554184,-4.25,705.0,1818.0,1911.857142857143
2021-08-20,0.25,23.166666666666668,0.028414563667886705,43.006,2.562912,-2.625,1076.0,1295.0,1845.2857142857142
2021-08-21,0.20833333333333334,25.0,0.0243386243386243,50.965,3.034476,-2.0833333333333335,829.0,1295.0,1776.2857142857142
2021-08-22,0.2916666666666667,20.041666666666668,0.0408163265306122,51.441,1.77403,-4.666666666666667,812.0,6157.0,1094.142857142857
2021-08-23,0.0,14.791666666666666,0.037037037037037,43.233,1.383612,-1.8333333333333333,1382.0,1694.0,981.1428571428571
2021-08-24,0.25,21.625,0.0194805194805194,43.092999999999996,1.423883,-3.1666666666666665,903.0,1161.0,919.5714285714286
2021-08-25,0.08333333333333333,15.666666666666666,0.0,53.502,1.468593,-3.6666666666666665,730.0,705.0,963.7142857142857
2021-08-26,0.08333333333333333,12.125,0.0117647058823529,49.34,2.381844,-3.375,1014.0,1076.0,950.0
2021-08-27,0.20833333333333334,11.791666666666666,0.044776119402985,42.736,1.075992,-0.8333333333333334,980.0,829.0,898.4285714285714
2021-08-28,0.0,10.958333333333334,0.010869565217391302,50.322,1.369747,-4.333333333333333,468.0,812.0,904.8571428571429
2021-08-29,0.16666666666666666,14.125,0.0347826086956521,39.124,1.3637,-3.7916666666666665,857.0,1382.0,813.2857142857143
2021-08-30,0.25,23.25,0.1164316416559837,42.188,4.712425,-3.875,741.0,903.0,806.1428571428571
2021-08-31,0.4166666666666667,22.833333333333332,0.1147373788883222,47.743,4.504237,-8.125,853.0,730.0,904.7142857142857
2021-09-01,0.4583333333333333,37.125,0.17452264048008734,44.296,5.667753,-7.166666666666667,1420.0,1014.0,986.7142857142857
2021-09-02,0.2916666666666667,20.625,0.0236220472440944,60.309,3.282337,-9.041666666666666,1588.0,980.0,1095.5714285714287
2021-09-03,0.16666666666666666,24.75,0.019047619047619,46.520999999999994,2.044772,-5.208333333333333,1742.0,468.0,1187.142857142857
2021-09-04,0.5416666666666666,28.666666666666668,0.032,54.03799999999999,2.309117,-20.125,1109.0,857.0,1619.142857142857
2021-09-05,0.7083333333333334,38.791666666666664,0.0158730158730158,55.529,2.308831,-15.583333333333334,3881.0,741.0,1901.0
2021-09-06,0.375,20.25,0.0326086956521739,61.107,1.7908669999999998,-18.041666666666668,2714.0,853.0,2235.4285714285716
2021-09-07,0.20833333333333334,18.833333333333332,0.0526315789473684,46.649,1.4826559999999998,-13.625,3194.0,1420.0,2389.1428571428573
2021-09-08,0.375,24.25,0.0392156862745098,54.395,1.6144170000000002,-16.916666666666668,2496.0,1588.0,2603.1428571428573
2021-09-09,0.7916666666666666,45.416666666666664,0.0849056603773584,45.69,1.682537,-48.791666666666664,3086.0,1742.0,3539.8571428571427
2021-09-10,0.3333333333333333,20.291666666666668,0.2884483937115516,48.18699999999999,3.427775,-10.5,8299.0,1109.0,3640.8571428571427
2021-09-11,0.4166666666666667,27.75,0.1465116279069767,41.634,3.6826190000000003,-5.458333333333333,1816.0,3881.0,3229.1428571428573
2021-09-12,0.375,22.458333333333332,0.012500000000000002,42.5,1.793468,-6.541666666666667,999.0,2714.0,3037.4285714285716
2021-09-13,0.25,28.125,0.077491554054054,46.64000000000001,2.7980700000000005,-8.916666666666666,1372.0,3194.0,2793.285714285714
2021-09-14,0.16666666666666666,21.375,0.0095238095238095,52.729000000000006,3.267263,-7.583333333333333,1485.0,2496.0,2609.285714285714
2021-09-15,0.125,27.541666666666668,0.0181818181818181,49.936,3.7741400000000005,-0.25,1208.0,3086.0,2353.8571428571427
2021-09-16,0.20833333333333334,31.791666666666668,0.0754243827160493,44.303,4.975689,-0.3333333333333333,1298.0,8299.0,1332.7142857142858
2021-09-17,0.25,26.5,0.0383816684568564,51.528,3.260845,-0.25,1151.0,1816.0,1213.142857142857
2021-09-18,0.25,27.708333333333332,0.0462745098039215,90.0,3.666967,-5.25,979.0,999.0,1276.142857142857
2021-09-19,0.20833333333333334,29.791666666666668,0.0454159592529711,44.82500000000001,3.7171369999999997,-2.8333333333333335,1440.0,1372.0,1161.4285714285713
2021-09-20,0.375,32.458333333333336,0.0552902011868577,48.83700000000001,3.394486,-6.0,569.0,1485.0,1214.2857142857142
2021-09-21,0.75,36.208333333333336,0.0643357744704307,69.178,3.3626050000000003,-2.2083333333333335,1855.0,1208.0,1501.857142857143
2021-09-22,0.5833333333333334,32.875,0.1418400876232201,66.331,3.449495,-2.375,3221.0,1298.0,1742.7142857142858
2021-09-23,0.5833333333333334,37.041666666666664,0.0762083780880773,67.312,3.2328069999999998,-1.8333333333333333,2984.0,1151.0,2002.7142857142858
2021-09-24,0.9583333333333334,40.083333333333336,0.1002079002079002,59.796,3.137355,-1.25,2971.0,979.0,2127.5714285714284
2021-09-25,0.75,36.75,0.1391834570519618,67.106,3.198672,-0.9583333333333334,1853.0,1440.0,2170.8571428571427
2021-09-26,0.5833333333333334,34.458333333333336,0.054579179225597,49.815,3.136037,-3.25,1743.0,569.0,2409.5714285714284
2021-09-27,0.625,37.791666666666664,0.0638440860215053,54.242,2.697709,-2.0833333333333335,2240.0,1855.0,2369.285714285714
2021-09-28,0.16666666666666666,28.75,0.0650191003352303,57.613,2.752796,-0.4166666666666667,1573.0,3221.0,2147.714285714286
2021-09-29,0.2916666666666667,28.416666666666668,0.040919540229885,54.52,2.8903820000000002,-1.2083333333333333,1670.0,2984.0,1916.142857142857
2021-09-30,0.5,22.083333333333332,0.0545454545454545,69.814,3.0016610000000004,-31.416666666666668,1363.0,2971.0,1761.0
2021-10-01,0.25,20.958333333333332,0.080650406504065,64.52,2.252226,-0.7083333333333334,1885.0,1853.0,1717.2857142857142
2021-10-02,0.20833333333333334,24.833333333333332,0.0605222734254992,68.298,2.7533809999999996,-21.416666666666668,1547.0,1743.0,1721.857142857143
2021-10-03,0.625,33.416666666666664,0.0179640718562874,63.987,2.623492,-2.7083333333333335,1775.0,2240.0,1785.4285714285713
2021-10-04,0.20833333333333334,24.875,0.0696894409937888,61.971,2.75403,-5.083333333333333,2685.0,1573.0,1870.5714285714287
2021-10-05,0.20833333333333334,25.5,0.0364963503649635,59.11600000000001,3.063283,-0.4166666666666667,2169.0,1670.0,1974.4285714285713
2021-10-06,0.4583333333333333,33.458333333333336,0.1274197500612595,61.859,3.587387,-1.25,2397.0,1363.0,2218.1428571428573
2021-10-07,0.7083333333333334,38.0,0.11656725063798472,60.225,3.152234,-9.916666666666666,3069.0,1885.0,2482.1428571428573
2021-10-08,0.20833333333333334,23.666666666666668,0.1889232886136911,68.196,3.4046110000000005,-7.708333333333333,3733.0,1547.0,2739.8571428571427
2021-10-09,0.4166666666666667,34.208333333333336,0.05612244897959181,62.931999999999995,3.73087,-1.375,3351.0,1775.0,2899.714285714286
2021-10-10,0.6666666666666666,36.0,0.1006211180124223,59.048,3.4865860000000004,-1.5,2894.0,2685.0,3136.285714285714
2021-10-11,0.25,24.583333333333332,0.0105820105820105,60.544999999999995,3.255676,-0.20833333333333334,4341.0,2169.0,3103.1428571428573
2021-10-12,0.625,30.5,0.1467767563273181,50.355,3.12916,-3.75,1937.0,2397.0,2942.4285714285716
2021-10-13,0.875,54.5,0.12181419567004652,53.124,3.265209,-8.666666666666666,1272.0,3069.0,2848.1428571428573
2021-10-14,0.5416666666666666,33.583333333333336,0.1224789915966386,54.502,2.031702,-0.2916666666666667,2409.0,3733.0,2525.0
2021-10-15,0.25,21.416666666666668,0.0990407052113041,49.26500000000001,2.021548,-2.6666666666666665,1471.0,3351.0,2285.5714285714284
2021-10-16,0.4583333333333333,26.0,0.04729729729729729,61.488,1.943453,-0.5416666666666666,1675.0,2894.0,2056.5714285714284
2021-10-17,0.375,31.833333333333332,0.0213903743315508,55.583,2.323115,-1.2083333333333333,1291.0,4341.0,1627.0
2021-10-18,0.25,22.958333333333332,0.0279720279720279,63.047,2.1595690000000003,-2.8333333333333335,1334.0,1937.0,1539.4285714285713
2021-10-19,0.5,26.958333333333332,0.0272108843537414,75.451,2.3464020000000003,-2.8333333333333335,1324.0,1272.0,1691.857142857143
2021-10-20,0.20833333333333334,22.416666666666668,0.0607056760902914,44.395,2.476334,-1.5,2339.0,2409.0,1495.7142857142858
2021-10-21,0.25,19.708333333333332,0.0579234972677595,45.31,2.502533,-0.8333333333333334,1036.0,1471.0,1473.2857142857142
2021-10-22,0.08333333333333333,23.541666666666668,0.1508544400366188,60.577,4.186603,-3.0833333333333335,1314.0,1675.0,1467.5714285714287
2021-10-23,0.3333333333333333,23.625,0.0788435828877005,52.894,5.097433,-0.4166666666666667,1635.0,1291.0,1426.7142857142858
2021-10-24,0.2916666666666667,20.416666666666668,0.0424603174603174,53.857,2.694119,-2.4166666666666665,1005.0,1334.0,1397.7142857142858
2021-10-25,0.20833333333333334,19.583333333333332,0.1106060606060606,44.886,2.4151040000000004,-1.7083333333333333,1131.0,1324.0,1413.7142857142858
2021-10-26,0.3333333333333333,23.416666666666668,0.04646153846153841,51.04,2.618894,0.0,1436.0,2339.0,1261.857142857143
2021-10-27,0.375,21.083333333333332,0.0817157919961658,40.707,2.935666,-6.458333333333333,1276.0,1036.0,1286.142857142857
2021-10-28,0.041666666666666664,11.916666666666666,0.0,59.0,2.51085,-0.4166666666666667,1206.0,1314.0,1258.5714285714287
2021-10-29,0.25,16.083333333333332,0.1136950904392764,54.725,2.568218,-2.5833333333333335,1121.0,1635.0,1243.857142857143
2021-10-30,0.25,17.875,0.032258064516129,56.327,2.7652750000000004,-0.625,1532.0,1005.0,1317.4285714285713
2021-10-31,0.25,18.125,0.0647773279352226,61.909,2.361375,-0.4166666666666667,1520.0,1131.0,1394.5714285714287
2021-11-01,0.20833333333333334,21.25,0.0105263157894736,51.655,2.529228,-0.4166666666666667,1671.0,1436.0,1403.4285714285713
2021-11-02,0.20833333333333334,18.125,0.0,49.308,2.8174900000000007,-0.6666666666666666,1498.0,1276.0,1446.4285714285713
2021-11-03,0.20833333333333334,15.333333333333334,0.0333333333333333,62.74,2.7756330000000005,-4.125,1577.0,1206.0,1564.142857142857
2021-11-04,0.20833333333333334,15.5,0.0,50.93699999999999,2.383833,-1.7916666666666667,2030.0,1121.0,1687.5714285714287
2021-11-05,0.2916666666666667,16.708333333333332,0.1476190476190476,57.608,2.708069,-0.5833333333333334,1985.0,1532.0,1773.142857142857
2021-11-06,0.375,17.5,0.0555555555555555,53.68800000000001,2.6790560000000005,-0.9583333333333334,2131.0,1520.0,1900.4285714285713
2021-11-07,0.2916666666666667,17.75,0.24347826086956523,52.03,3.459876,-2.9166666666666665,2411.0,1671.0,1966.2857142857142
2021-11-08,0.08333333333333333,17.958333333333332,0.0,57.415,3.2789179999999996,-122.58333333333333,2132.0,1498.0,1928.4285714285713
2021-11-09,0.16666666666666666,12.375,0.0,44.558,2.28523,-0.9166666666666666,1233.0,1577.0,1919.5714285714287
2021-11-10,0.375,25.166666666666668,0.0714285714285714,55.758,3.463657,-4.208333333333333,1515.0,2030.0,1991.2857142857142
2021-11-11,0.7083333333333334,42.083333333333336,0.0754716981132075,61.11600000000001,2.772007,-10.125,2532.0,1985.0,3441.0
2021-11-12,0.375,22.125,0.5219846712384026,63.297,5.431656,-2.0416666666666665,12133.0,2131.0,3394.5714285714284
2021-11-13,0.16666666666666666,17.041666666666668,0.21212121212121207,47.315,5.563261999999999,0.0,1806.0,2411.0,3178.5714285714284
2021-11-14,0.20833333333333334,20.0,0.3200542005420054,57.354000000000006,5.723295,-2.0833333333333335,899.0,2132.0,3152.5714285714284
2021-11-15,0.20833333333333334,16.75,1.410294117647059,70.687,4.367306,0.0,1950.0,1233.0,3283.0
2021-11-16,0.7916666666666666,72.29166666666667,0.0120481927710843,51.88399999999999,2.9328260000000004,-2.7083333333333335,2146.0,1515.0,3388.4285714285716
2021-11-17,0.20833333333333334,22.791666666666668,0.0333333333333333,61.6,3.053535,-10.125,2253.0,2532.0,3194.8571428571427
2021-11-18,0.20833333333333334,18.333333333333332,0.21123595505617968,63.24100000000001,4.567197999999999,-3.75,1177.0,12133.0,1705.4285714285713
2021-11-19,0.125,12.833333333333334,0.0133333333333333,51.41299999999999,1.7359280000000001,-1.0416666666666667,1707.0,1806.0,1638.2857142857142
2021-11-20,0.20833333333333334,20.708333333333332,0.0813953488372093,46.846,1.89462,0.0,1336.0,899.0,1671.4285714285713
2021-11-21,0.125,14.333333333333334,0.0384615384615384,60.47299999999999,2.201177,-1.6666666666666667,1131.0,1950.0,1536.2857142857142
2021-11-22,0.2916666666666667,16.875,0.029850746268656702,47.02,1.546048,-1.0833333333333333,1004.0,2146.0,1411.857142857143
2021-11-23,0.20833333333333334,17.541666666666668,0.0138888888888888,52.693999999999996,1.720515,-1.2083333333333333,1275.0,2253.0,1255.5714285714287
2021-11-24,0.125,13.875,0.022471910112359505,63.272,1.926164,0.0,1159.0,1177.0,1186.857142857143
2021-11-25,0.20833333333333334,19.0,0.0103092783505154,46.357,1.717849,-0.9166666666666666,696.0,1707.0,1117.5714285714287
2021-11-26,0.20833333333333334,18.291666666666668,0.0,45.98,1.948862,-0.625,1222.0,1336.0,1077.7142857142858
2021-11-27,0.16666666666666666,17.041666666666668,0.0113636363636363,41.598,2.396916,-1.8333333333333333,1057.0,1131.0,1058.7142857142858
2021-11-28,0.125,16.541666666666668,0.010204081632653,50.61600000000001,2.344071,-0.7083333333333334,998.0,1004.0,1103.2857142857142
2021-11-29,0.2916666666666667,13.958333333333334,0.02,52.611,1.814974,-1.2916666666666667,1316.0,1275.0,1097.2857142857142
2021-11-30,0.16666666666666666,14.708333333333334,0.0,42.185,1.290732,-1.5833333333333333,1233.0,1159.0,1112.4285714285713
2021-12-01,0.25,16.916666666666668,0.0,59.07,1.384145,-22.75,1265.0,696.0,1406.7142857142858
2021-12-02,0.5416666666666666,31.791666666666668,0.0317460317460317,55.596,1.539891,-34.541666666666664,2756.0,1222.0,1843.142857142857
2021-12-03,0.7083333333333334,29.416666666666668,0.02803738317757,50.28799999999999,1.5317680000000002,-21.708333333333332,4277.0,1057.0,2097.4285714285716
2021-12-04,0.4583333333333333,27.166666666666668,0.0618556701030927,67.654,1.329382,-32.791666666666664,2837.0,998.0,2535.285714285714
2021-12-05,0.5416666666666666,31.208333333333332,0.0689655172413793,53.282000000000004,1.569992,-27.791666666666668,4063.0,1316.0,2871.5714285714284
2021-12-06,0.5416666666666666,27.333333333333332,0.0096153846153846,52.44899999999999,1.4176910000000003,-26.083333333333332,3670.0,1233.0,3196.714285714286
2021-12-07,0.5,28.916666666666668,0.0104166666666666,53.205000000000005,1.407337,-19.583333333333332,3509.0,1265.0,3357.1428571428573
2021-12-08,0.375,24.208333333333332,0.0519480519480519,54.698,1.118329,-30.166666666666668,2388.0,2756.0,3451.285714285714
2021-12-09,0.375,33.25,0.0142857142857142,56.06,1.4732519999999998,-22.166666666666668,3415.0,4277.0,3272.714285714286
2021-12-10,0.5833333333333334,40.083333333333336,0.0169491525423728,53.912,1.639102,-33.208333333333336,3027.0,2837.0,3398.0
2021-12-11,1.125,45.583333333333336,0.0588235294117647,62.764,1.7903200000000001,-65.79166666666667,3714.0,4063.0,3962.714285714286
2021-12-12,1.25,62.833333333333336,0.050632911392405,55.782999999999994,2.437043,-114.5,8016.0,3670.0,5507.714285714285
2021-12-13,0.125,31.583333333333332,0.0,54.242,1.660544,-1.375,14485.0,3509.0,5316.142857142857
2021-12-14,0.08333333333333333,17.75,0.047619047619047596,53.102,1.4306150000000002,-2.625,2168.0,2388.0,5164.571428571428
2021-12-15,0.2916666666666667,19.541666666666668,0.025000000000000005,60.262,1.963876,-4.0,1327.0,3415.0,4969.285714285715
2021-12-16,0.16666666666666666,17.666666666666668,0.012820512820512798,43.151,1.988555,-26.916666666666668,2048.0,3027.0,4721.571428571428
2021-12-17,0.125,16.791666666666668,0.0,63.79999999999999,1.5799969999999999,-2.4166666666666665,1293.0,3714.0,4327.714285714285
2021-12-18,0.08333333333333333,14.166666666666666,0.0,43.475,2.39521,-0.5416666666666666,957.0,8016.0,3300.285714285714
2021-12-19,0.375,22.75,0.0229885057471264,42.146,2.564968,-1.4166666666666667,824.0,14485.0,1383.142857142857
2021-12-20,0.20833333333333334,15.708333333333334,0.0,41.772,1.6896829999999998,-0.5,1065.0,2168.0,1170.4285714285713
2021-12-21,0.041666666666666664,20.458333333333332,0.0104166666666666,31.05,2.541035,-0.16666666666666666,679.0,1327.0,1033.857142857143
2021-12-22,0.08333333333333333,16.166666666666668,0.0172413793103448,40.843,2.666667,-1.7083333333333333,371.0,2048.0,831.0
2021-12-23,0.125,19.166666666666668,0.024390243902439,38.051,2.302536,-0.625,628.0,1293.0,701.8571428571429
2021-12-24,0.625,34.291666666666664,0.048780487804878,52.251,2.050562,-39.875,389.0,957.0,1291.7142857142858
2021-12-25,0.875,38.5,0.047619047619047596,56.369,2.313223,-60.375,5086.0,824.0,2091.1428571428573
2021-12-26,0.4583333333333333,37.166666666666664,0.0169491525423728,57.601,2.543584,-63.666666666666664,6420.0,1065.0,2778.5714285714284
2021-12-27,0.5833333333333334,38.208333333333336,0.09756097560975611,59.685,2.116142,-117.125,5877.0,679.0,3611.5714285714284
2021-12-28,0.4583333333333333,45.708333333333336,0.0666666666666666,58.482,2.560124,-55.791666666666664,6510.0,371.0,4424.428571428572
2021-12-29,0.6666666666666666,40.541666666666664,0.0578512396694214,53.014,2.485236,-50.583333333333336,6061.0,628.0,5159.285714285715
2021-12-30,0.7916666666666666,49.208333333333336,0.0296296296296296,45.731,2.41604,-109.20833333333333,5772.0,389.0,5797.714285714285
2021-12-31,0.7083333333333334,38.541666666666664,0.0344827586206896,47.394,2.093819,-51.208333333333336,4858.0,5086.0,5842.142857142857
2022-01-01,0.75,42.333333333333336,0.0585365853658536,48.74699999999999,2.348377,-49.25,5397.0,6420.0,5797.142857142857
2022-01-02,0.4166666666666667,53.583333333333336,0.0089686098654708,59.198,2.262154,-5.5,6105.0,5877.0,5650.857142857143
2022-01-03,0.375,38.541666666666664,0.0373831775700934,55.097,2.093145,-4.625,4853.0,6510.0,5200.857142857143
2022-01-04,0.20833333333333334,37.291666666666664,0.0358974358974358,53.186,1.974037,-0.4166666666666667,3360.0,6061.0,4721.714285714285
